"","BSESN.ret","BVSP.ret","FTSE.ret","GDAXI.ret","GSPC.ret","HSCE.ret","IBEX.ret","JKSE.ret","MXX.ret","N225.ret","TWII.ret","VIX.ret","VLIC.ret"
"2016-07-01 02:00:00",0.0279122580720593,0.0415936755422788,0.0690872881580677,0.02265206115885,0.0316616875126007,NA,0.0599559455855099,0.0279459900805747,0.0291450372093833,0.0476978191879966,0.0303534063770247,-0.556224804692865,0.0259845851086436
"2016-07-08 02:00:00",-0.000663687666932943,0.0172342793180692,0.0019440929992779,-0.0150947542285966,0.0127338866722746,-0.0206527420122261,-0.01008838654648,NA,-0.0102000214281742,-0.0373872758706857,-0.0112009201370955,-0.112381266950963,0.0123473228273282
"2016-07-15 02:00:00",0.0258222392679975,0.0448386811293053,0.0118555356625361,0.0444049180398674,0.0148384640891244,0.0585764492397241,0.0412934378812672,0.0274963160729228,0.0209647422466573,0.088073125969621,0.0351287509465451,-0.0409798352592775,0.0226146527394459
"2016-07-22 02:00:00",-0.00119554008777469,0.0252989154383433,0.00914949315895511,0.00797057093002452,0.00612902254212977,-0.00196116313176251,0.00804403282396676,0.0168955748086017,0.017482574661171,0.0078128700443783,0.00704675556263824,-0.0526650652259862,0.00463727988464381
"2016-07-29 02:00:00",0.00890234856612853,0.00535387509283714,-0.000906747499035242,0.0185546363275899,-0.000657646665628717,-0.0081108075022111,-0.00147787560188063,0.003599886751981,-0.0186126057454021,-0.00349316908981543,-0.00319260803423945,-0.0125577204854848,0.00285103989703727
"2016-08-05 02:00:00",0.000943885171504372,0.0061408050741802,0.0102235850792656,0.00286987660753239,0.00425575410073772,0.0190768789580928,-0.00558195163982907,0.0384115551799688,0.0113682452668435,-0.019183017203266,0.0119172647694302,-0.0412784311624858,0.0024284489873426
"2016-08-12 02:00:00",0.00263381956696467,0.0109867523453756,0.0178712951388028,0.03285012854515,0.000540395511647333,0.045316724552596,0.0205155599897823,-0.00797426310230327,0.024483562678349,0.0401248919872678,0.00638835535889847,0.0139496595087119,0.00109811362039789
"2016-08-19 02:00:00",-0.00268188654578891,0.0136462163444448,-0.00827590930385971,-0.0159069123020485,-8.23879527388898e-05,0.0053567541785361,-0.0309689550020606,0.0071970477513554,-0.00137448310796634,-0.0223581005608182,-0.0127714102100285,-0.0183491386681967,0.00545193515675654
"2016-08-26 02:00:00",-0.0105534082763111,-0.0236795723601171,-0.00305172891642968,0.00410836392712881,-0.00681389454294972,-0.00586024518949922,0.0244195856904244,0.00420007613827769,-0.0193989446784406,-0.0112507944815831,0.010728981075592,0.185403223331363,-0.00543120894236226
"2016-09-02 02:00:00",0.026632770256639,0.0323895629841687,0.00822858112277388,0.00903095965224298,0.00503100193940191,0.0142270335038905,0.0283938367729112,-0.0158208288775019,0.00879427069913751,0.0339492504281514,-0.0159136876957949,-0.130500928943665,0.00757083577364235
"2016-09-09 02:00:00",0.00924979864814316,-0.0274809838727586,-0.0172039845695525,-0.0103852397918437,-0.0242223837656459,0.0375929473491467,0.0130030833865069,-0.0134542815303882,-0.0282004140152788,0.00236520474375485,0.0195385379745592,0.378962288242165,-0.0262356678287758
"2016-09-14 02:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0290691677059938,NA,NA
"2016-09-15 02:00:00",NA,NA,NA,NA,NA,-0.0470470711684589,NA,NA,-0.0116097782301551,NA,NA,NA,NA
"2016-09-16 02:00:00",-0.00690711988622628,-0.0159892179377837,-0.0098908958406528,-0.0285176220654498,0.0053198779672247,NA,-0.0444154570418648,-0.00268205173365206,NA,-0.0266684493146237,NA,-0.129783323378964,-0.00152017641327233
"2016-09-23 02:00:00",0.00241644010035175,0.027934825594008,0.029239158832504,0.0335674687766728,0.0118639494054273,0.0206568792930765,0.0217914583905458,0.02273589574527,0.0396112142533469,0.0141094692429586,0.0420496907635714,-0.223631633972561,0.0193148938636876
"2016-09-30 02:00:00",-0.028383310775355,-0.00563795657298199,-0.00146286022803883,-0.0109708977110974,0.00165248691282814,-0.0220961355182187,-0.0050217929768914,-0.00448296721291865,-0.0112115611033512,-0.0183224602454661,-0.0127656247593485,0.0782259491472105,0.00248398385866233
"2016-10-07 02:00:00",0.00697981743874475,0.0459084932093821,0.0208130321092451,-0.00191975054648403,-0.00672376265071012,0.0350589588489619,-0.0178243351251699,0.00229839205369838,0.00739758532270219,0.0246335401481992,0.0107375769447441,0.014195232759007,-0.0100566568461264
"2016-10-14 02:00:00",-0.0139068473356169,0.0107100864236731,-0.00438182576194196,0.00849689610953904,-0.00968580753808623,-0.033028997459989,0.0165135920326189,0.00421926350417953,0.0022004164291758,-0.000220705443401279,-0.0109208289130549,0.178853693629059,-0.0156800356224911
"2016-10-20 02:00:00",NA,NA,NA,NA,NA,0.00881180111603275,NA,NA,NA,NA,NA,NA,NA
"2016-10-21 02:00:00",0.0144782596381934,0.0371999198686119,0.000983305307468514,0.0122447549711137,0.00382764354635398,NA,0.0372210419402476,0.00173162526618823,0.0149180951244055,0.0192844669818454,0.0153102354863498,-0.189293758625742,0.00482489135253249
"2016-10-28 02:00:00",-0.00484374727714194,0.0031148791693845,-0.00345303056081611,-0.00135844302920322,-0.00691262678445446,-0.01781759882804,0.0110263456617789,0.000219333478138345,-0.0085288911162418,0.0151208628420451,3.75652790031118e-05,0.193626788968587,-0.0181716624975839
